"V1" "V2"
"285" 1 -0.4121022
"286" -0.46912688 0.53139706
"287" 0.57710612 0.12877342
"288" -0.01547817 -1
"289" 0.12064727 -0.58574033
"290" 0.6732767 0.62996376
"291" 0.16411553 -0.113135
"292" -0.45493464 0.51895697
"293" -0.64040717 0.03550332
"294" 0.57480105 0.13906639
"295" -0.61581519 -0.61336192
"296" -0.644332 0.02237558
"297" 1 -0.43615932
"298" 0.09436232 -0.58117939
"299" 0.60011891 0.50861062
"300" -0.43553493 0.50333994
"301" 0.67605307 1
"302" -0.61633286 -0.61343346
"303" 1 -0.28502925
"304" -0.63792807 0.02268264
"305" -0.50274254 0.51764891
"306" -0.01454387 0.72353247
"307" 0.67273026 -0.74401264
"308" 0.62046071 0.56857706
"309" -0.61706841 -0.62061907
"310" 0.12118038 -0.54238085
"311" -0.6737997 0.67131797
"312" 1 -0.47587476
"313" -0.6566886 0.0101373
"314" -0.30725252 0.3752499
"315" 0.6180379 0.55206761
"316" -0.50833048 0.51855506
"317" 1 -0.59162131
"318" -0.0115649 0.72587768
"319" 1 -0.16599938
"320" 0.11598781 -0.54050262
"321" -0.62395343 0.01838854
"322" 0.62599855 0.54286404
"323" 1 -0.42999367
"324" -0.64209806 0.64517367
"325" 0.63290113 0.57089291
"326" -0.68847018 -0.02155995
"327" -0.03433268 0.70813134
"328" 0.09902028 -0.57572371
"329" -0.30815023 0.26236024
"330" 0.124483061 -0.54209812
"331" -0.313595026 0.35815008
"332" 0.617204557 0.55565396
"333" -0.669691014 0.668891814
"334" -0.618087125 -0.61959487
"335" -0.661915268 0.004063565
"336" 1 -0.488276823
"337" -0.63067522 -0.61983768
"338" 0.30085001 -0.58626673
"339" 0.6231057 0.56414775
"340" -0.11280458 -0.66980228
"341" -0.03969339 0.71051771
"342" -0.45480342 0.31735165
"343" 0.20409827 -0.11475412
"344" -0.6582655867 0.0009574603
"345" 0.5450419532 0.1024568448
"346" -0.6185486046 -0.6159188524
"347" 1 -0.4124236134
"348" -0.6839992413 0.6769453863
"349" 0.653263203 0.6111473068
"350" -0.3133977937 0.38235289
"351" -0.62166283 -0.61974343
"352" 0.12347646 -0.54828759
"353" -0.39612044 0.49310505
"354" 0.62663094 0.57289324
"355" 0.87351944 -0.54260537
"356" 1 -0.16154877
"357" -0.63688705 0.03095928
"358" -0.40650046 0.48806312
"359" 0.6216819 0.56743889
"360" -0.61691604 -0.61405284
"361" 0.19275278 -0.12323246
"362" -0.63944059 0.02444813
"363" 0.04540494 -0.62118556
"364" 1 -0.49509428
"365" -0.01376904 -1
"366" 1 -0.25330325
"367" -0.40217343 0.21529681
"368" -0.01943848 0.72098188
"369" 0.14143696 -0.5196619
"370" -0.61578332 -0.61155656
"371" -0.63978712 0.64541017
"372" -0.63921222 0.02543605
"373" 0.55713364 0.12806994
"374" 0.17159544 -0.18125795
"375" -0.39940769 0.48579581
"376" 0.65998611 -1
"377" 0.65734494 0.61842164
