"slope" "angle" "top.layer3" "bot.layer3" "vs2" "vs3" "vs4" "density" "freq" "y.hat.Combined" "Quant.Combined" "LL.Combined" "UL.Combined" "y.hat.single" "LL.single" "UL.single" "y.hat.CGP" "LL.CGP" "UL.CGP" "y.true"
"44" -1.05860059981555 0.359581807682563 -0.875841742708 -1.03237275941761 0.661177162955158 -1.55882470589497 -1.01558655419336 0.344806377683303 -0.465883369355819 3.16876706421372 0.51 -2.53390525460165 8.89180297225554 6.43596193238473 2.20645862284061 10.6654652419289 5.86119216651186 2.65226762547126 9.07011670755246 5.77086613560601
"50" -1.05860059981555 -1.47658061452627 0.878766089094337 0.122550153541805 0.0890278169167062 -0.64223330155466 1.18584860912035 -1.48408176420126 0.267098646622499 5.12269655828586 0.525 -1.13713887241141 11.0231173053563 0.671417966950732 -2.39293428961029 3.73577022351175 1.18256031830684 -0.496973112255973 2.86209374886965 2.32610270316033
"51" -1.05860059981555 -0.558499403421853 0.293896811826891 1.27747306650122 0.130388010606233 1.18387158122371 0.893210702214596 -0.264823002944885 -0.465883369355819 4.07660488184306 0.497 -0.437931494765631 8.65996073987892 7.17371268369536 2.76111868433567 11.586306683055 5.6844931616332 3.8169788566652 7.5520074666012 3.75453159379679
"54" -1.05860059981555 0.359581807682563 0.878766089094337 -0.647398455097806 -0.0212660329220315 -1.09168159634701 0.12171076582671 0.344806377683303 2.46604469455745 2.72650002225944 0.509 -2.45682190395938 8.11529811021988 2.77119927224066 -1.30376966202939 6.84616820651071 1.46597458152513 -0.738138468913124 3.67008763196339 0.366213772845682
"55" -1.05860059981555 0.971635948418841 0.293896811826891 0.122550153541805 0.0200941607674952 0.507929657559623 -0.0977676643526027 1.56406513893968 1.73306267857914 2.21435668941559 0.491 -3.56427593730356 7.8544999517318 3.72311502460355 -2.69780448128657 10.1440345304937 -1.54396431470126 -5.23018557040285 2.14225694100033 1.37671205128289
"56" -1.05860059981555 0.971635948418841 0.293896811826891 -0.647398455097806 -0.00747930169218926 0.734423286431359 -0.303944371490745 -1.48408176420126 2.46604469455745 2.75431569536697 0.49 -3.1856186447905 9.15057763976347 2.73872657419434 -1.19498975648374 6.67244290487242 1.54878147345792 -1.12060018007635 4.21816312699219 0.405543011537669
"57" -1.05860059981555 0.359581807682563 0.293896811826891 -1.41734706373742 0.178641569910681 -1.42080515080125 -0.503470217108301 0.344806377683303 -1.19886538533414 4.2632217074132 0.517 -1.79462935466317 10.4518265805614 2.57665219966067 -2.83603133081999 7.98933573014132 5.91255311022388 1.0532771879143 10.7718290325335 2.32393572481592
"60" -1.05860059981555 0.971635948418841 0.878766089094337 1.27747306650122 0.157961473065917 0.0407865480116684 -1.00893569267278 1.56406513893968 -1.19886538533414 2.47090288049836 0.528 -2.41434733449798 7.32485868646092 2.14817617817945 1.05302066501626 3.24333169134264 1.19153516336513 -0.302297392699046 2.6853677194293 2.88799504310422
"65" -1.05860059981555 0.359581807682563 -0.875841742708 -1.03237275941761 -1.15867135938401 -1.11291537405374 1.51839168514961 0.954435758311492 -0.465883369355819 4.54887511623789 0.522 -1.31839382331354 10.5997756507332 5.13340329988734 1.49960086498245 8.76720573479224 3.44869205251383 0.263220684889899 6.63416342013776 12.0530695766588
"66" -1.05860059981555 0.359581807682563 -0.875841742708 1.27747306650122 -1.17935145622878 -1.04921404093356 1.2058011936821 -0.874452383573074 0.267098646622499 4.5011501597183 0.49 -1.52203377669316 10.5819334599952 4.70387647098537 1.04641069499259 8.36134224697816 3.68112673128165 0.329301080962217 7.03295238160108 4.1414297503581
